AB,ACBX,ACD,ACTO,CA,COR_CBCF,COR_CE,COR_CMCS,F_AGA_CEMS,F_EUPH_PLU,F_FUN_CECF,F_FUN_CMR,F_MER_CEMS,F_MER_PLE_PLOC,F_SC_ALC,F_SC_NEP,F_SC_XEN,F_SID_COS_PSA,G_ACA_MIC_HOM,G_AST,G_DIP,G_ECH_CB,G_ECH_OTH,G_GAL,G_GON_ALV_BER,G_HEL,G_HYD_CB,G_HYD_OTH,G_ISO_CSE,G_LEP,G_LOB_AUST,G_MER,G_MIL,G_MON,G_MYC,G_OXY_ECL_ECY,G_PAC,G_PEC,G_POC,G_POR_B,G_POR_CECS,G_POR_M,G_SER,G_STY,G_TUB_HET,G_TUR_DUN,IN,MA_BROWN,MA_GREEN,MA_OTH,MA_RED,OT,S_POR_RUS,SC_GORG_LIKE,SC_OTH,SC_OTH_E,SP,TA,ZOA
0.588235294,0.0,0.0,0.0,0.588235294,1.176470588,1.764705882,0.588235294,0.0,0.0,0.0,0.588235294,1.764705882,0.0,1.176470588,0.0,0.0,0.0,0.0,0.0,0.588235294,0.0,0.0,0.588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.117647059,5.294117647,0.0,2.941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.588235294,0.0,0.0,16.47058824,0.0,1.176470588,60.0,0.0
0.625,0.0,1.25,0.0,0.0,0.0,2.5,0.0,0.625,0.0,0.0,0.0,1.875,0.625,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,1.875,6.25,0.625,0.0,67.5,0.0
0.0,1.142857143,0.0,0.0,0.571428571,0.0,1.142857143,0.0,0.0,0.0,0.0,0.0,2.285714286,0.0,1.142857143,0.0,0.0,0.0,0.0,0.0,1.142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.0,2.285714286,0.0,0.0,0.0,0.0,0.0,1.142857143,0.0,0.0,2.285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.0,0.571428571,16.57142857,0.0,1.714285714,66.85714286,0.0
1.111111111,0.0,0.0,1.111111111,0.555555556,0.0,2.222222222,0.555555556,3.333333333,0.0,0.0,0.0,1.666666667,1.666666667,0.555555556,0.0,0.0,0.0,0.0,0.0,2.777777778,0.0,3.333333333,0.555555556,0.0,0.0,2.222222222,0.0,0.0,0.0,0.0,0.0,1.666666667,0.0,0.0,0.0,0.0,0.0,2.222222222,0.0,1.666666667,6.111111111,0.0,2.222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.666666667,0.0,0.0,10.0,0.555555556,0.0,52.22222222,0.0
3.428571429,1.142857143,0.0,0.0,2.285714286,0.0,2.857142857,0.0,0.0,0.0,0.0,1.142857143,1.714285714,0.571428571,0.571428571,0.0,0.0,1.142857143,0.0,0.0,10.85714286,0.0,0.571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.0,0.0,4.571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.571428571,0.0,0.0,16.0,0.0,1.142857143,49.71428571,0.0
6.451612903,0.0,0.0,0.0,3.225806452,0.0,0.0,0.64516129,0.0,0.0,0.0,0.64516129,0.64516129,1.290322581,0.64516129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.290322581,3.870967742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.870967742,0.0,4.516129032,0.0,2.580645161,11.61290323,0.0,3.225806452,54.83870968,0.64516129
17.32673267,0.0,0.0,0.0,0.0,0.0,0.0,0.495049505,0.0,0.0,0.0,0.0,0.0,0.0,5.445544554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.99009901,0.0,0.0,0.495049505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.485148515,0.0,3.465346535,0.0,0.99009901,18.31683168,0.0,0.99009901,50.0,0.0
0.571428571,0.0,0.0,0.0,6.857142857,0.571428571,0.571428571,0.0,0.0,0.0,0.0,0.0,1.142857143,0.0,17.71428571,0.0,0.0,0.0,0.0,0.571428571,1.142857143,0.0,0.0,0.0,3.428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.571428571,0.0,0.0,0.571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.571428571,0.571428571,5.142857143,0.0,0.0,1.714285714,0.0,1.142857143,52.57142857,0.571428571
11.2195122,0.0,0.0,0.0,2.43902439,0.0,0.487804878,0.0,0.0,0.0,0.0,0.0,0.975609756,0.0,8.780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487804878,0.0,0.0,0.0,0.487804878,0.0,0.0,0.0,0.0,2.43902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.487804878,0.0,4.390243902,0.0,1.951219512,9.756097561,0.0,1.463414634,53.65853659,0.975609756
6.0,0.0,0.666666667,0.0,4.0,1.333333333,1.333333333,2.0,0.0,0.0,0.0,2.666666667,1.333333333,0.0,8.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,0.666666667,0.0,0.666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.666666667,2.666666667,0.666666667,6.0,0.0,0.0,0.666666667,0.0,1.333333333,58.0,0.0
